Title,Location,Price,Images,Meta Data,Feature,Description,URL
Samsung Galaxy A12 4/64 (Used),"Posted on 13 Oct 8:45 am, Town Hall, Mymensingh","Tk 12,000","['samsung-galaxy-a12-used-for-sale-mymensingh-54@849df760-5618-4f21-81f1-95f36bab4562', 'samsung-galaxy-a12-used-for-sale-mymensingh-54@330c67b1-10cb-49b5-a6c1-d4946bb2d9d7', 'samsung-galaxy-a12-used-for-sale-mymensingh-54@4bc09867-dc49-41a5-9724-ddb87d1a7cd4']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy A12', 'Edition:': '4/64', 'Authenticity:': 'Original'}",,"Samsung A12 (4/64)gb.
Full Fresh phone.
6 mas used.
Box, Charger shob ase.
99% Fresh phone
.notun er motoi ase.
Price Fixt😊 100%😊
Location: খাগডহর ঘুন্টি, সদর।
মোবাইল নিতে অবশ্যই লোকেশনে আসতে হবে।
ধন্যবাদ, আসসালামুয়ালাইকুম 🤍",
OPPO Reno 6 8/128 (Used),"Posted on 04 Oct 1:25 am, Shaheb Bazar, Rajshahi","Tk 24,500","['oppo-reno-6-8-128-used-for-sale-rajshahi-27@cc7a4834-1448-49b0-bdce-d4400f215173', 'oppo-reno-6-8-128-used-for-sale-rajshahi-27@8c478b9d-1f11-4f26-97dc-8bdc2363e129', 'oppo-reno-6-8-128-used-for-sale-rajshahi-27@14cad7bc-22ad-4ae3-bf27-e2ca183fed7d', 'oppo-reno-6-8-128-used-for-sale-rajshahi-27@d332b780-e403-4f86-8aaa-ed96d1f76083', 'oppo-reno-6-8-128-used-for-sale-rajshahi-27@8238e2a4-9e6e-46c7-9549-b631afd114db']","{'Condition:': 'Used', 'Brand:': 'OPPO', 'Model:': 'Reno 6', 'Edition:': '8/128', 'Authenticity:': 'Original'}",,"Oppo Reno 6 all ok joto iccha dekhe niben problem pele vara diye dibo jawa asar only phone dibo indian phone 
in display fingerprint charge and camera osthir karo kache jodi vivo v20 thake kichu tk add kore exchange korte parben...",
Mi Band 6 (used),"Posted on 18 Oct 8:24 pm, Rampura, Dhaka","Tk 2,500","['mi-band-6-used-for-sale-dhaka-1@8cc4f68a-456f-4d75-bd2a-c8a2c43e1354', 'mi-band-6-used-for-sale-dhaka-1@3fb63296-46d9-45c6-8589-046c641262c3', 'mi-band-6-used-for-sale-dhaka-1@fa77ec0d-d998-4bde-a698-a2d5b4e13046', 'mi-band-6-used-for-sale-dhaka-1@92517a87-f1b3-4493-a5ee-4efbd6eec747', 'mi-band-6-used-for-sale-dhaka-1@c7096643-da01-490b-b9e4-8a08f7ed9e8a']","{'Condition:': 'Used', 'Wearable type:': 'Fitness Bands'}",,"Xiaomi Mi Band 6 for sale
- Bought from Xiaomi Global store on Daraz
- Used for only 3 months
- No Warranty
- Comes with Packaging
Price = 2,500 Taka (Negotiable).",
OnePlus 7T Pro 12/256 (Used),"Posted on 18 Oct 8:24 pm, Mirpur, Dhaka","Tk 31,999","['oneplus-7t-pro-12-256-mclaren-edi-used-for-sale-dhaka-2@d939dc7d-54ef-4dce-a630-84b196adec69', 'oneplus-7t-pro-12-256-mclaren-edi-used-for-sale-dhaka-2@de862459-be7b-45fb-9447-c6c6bd557b9b', 'oneplus-7t-pro-12-256-mclaren-edi-used-for-sale-dhaka-2@1ac53099-5047-4053-b34c-f54696c760e7', 'oneplus-7t-pro-12-256-mclaren-edi-used-for-sale-dhaka-2@fb630b7a-aee9-4558-9f8b-d3c98f892eb6', 'oneplus-7t-pro-12-256-mclaren-edi-used-for-sale-dhaka-2@7e94912c-1aac-42eb-a9a3-9e6e6fc71192']","{'Condition:': 'Used', 'Brand:': 'OnePlus', 'Model:': '7T Pro', 'Edition:': '12/256', 'Authenticity:': 'Original'}",,"Back part er niche halka fata ache.
Picture e red mark kora
Sathe only box paren
Charger & cable nai
Only set & box
3 ta extra back cover ache
Others sob ok",
Vivo Y11 (Used),"Posted on 18 Oct 8:24 pm, Bhola, Barishal Division","Tk 6,000","['vivo-y11-used-for-sale-barishal-division-132@f61155f9-8c00-4e61-a1d8-aa60f5965ab6', 'vivo-y11-used-for-sale-barishal-division-132@49438961-e6d7-4657-809a-734d5c44287b', 'vivo-y11-used-for-sale-barishal-division-132@fc1ea2ce-017f-4775-8b4c-eb195837cb3d', 'vivo-y11-used-for-sale-barishal-division-132@d4910c86-b7e2-4c37-9745-d496e792c176', 'vivo-y11-used-for-sale-barishal-division-132@2c4e64c6-17db-4466-a5ee-1066f0682c3c']","{'Condition:': 'Used', 'Brand:': 'Vivo', 'Model:': 'Y11', 'Authenticity:': 'Original'}",,"জরুরী ভিত্তিতে ফোনটি বিক্রি করা হবে 
আমার খুব জরুরিভাবে টাকার প্রয়োজন 
ফোনটার কন্ডিশন খুবই ভালো 
কোনটিতে কোন রকমের কোন প্রবলেম নেই
ফোনের সাথে বস চার্জার কাগজ 
সবকিছুই আছে 
ফোনটি কিনতে হলে অবশ্যই লোকেশনে আসতে হবে 
ফোনটির মূল্য ফিক্স কোনরকম দামাদামি হবে না 
মূল্য ৬০০০",
Xiaomi Poco M2 2021 (Used),"Posted on 18 Oct 8:24 pm, Daulatpur, Khulna","Tk 9,500","['xiaomi-poco-m2-2021-used-for-sale-khulna-25@fc597825-a147-4dfa-8a20-aab5378d8850', 'xiaomi-poco-m2-2021-used-for-sale-khulna-25@5f5aac53-76f1-4af6-b9de-84f9e9013371', 'xiaomi-poco-m2-2021-used-for-sale-khulna-25@a5a49f75-2fba-4b50-9dea-fb175cbe54bf', 'xiaomi-poco-m2-2021-used-for-sale-khulna-25@93d8ec02-a2be-4989-8068-f65373d6c01b', 'xiaomi-poco-m2-2021-used-for-sale-khulna-25@ddce1cb2-3eed-4882-adfb-59ecb5c75d81']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Poco M2', 'Edition:': '2021', 'Authenticity:': 'Original'}",,"আসসালামু আলাইকুম,, 
ফোনে কোনো সমস্যা নেই। সুধু ফিঙ্গার কাজ করে না। বাকি সব ঠিক আছে। অল্প দিন ব্যবহার করা হয়েছে। ফোনের সাথে চার্জার আছে বক্স টা নষ্ট হয়ে গেছে। যে কোনো ধরনের সিকিইউরিটি দেওয়া যাবে। দাম সামান্য কম রাখা যাবে। ফোন নিতে হলে লোকেশোনে আসতে হবে। 
model xiaomi poco m2. Ram 6 gb rom 64
Phone: .
Address : ফুলবাড়িগেট, খুলনা।",
Realme 5i 4-64 (Used),"Posted on 18 Oct 8:24 pm, Badda, Dhaka","Tk 10,000","['realme-5i-4-64-used-for-sale-dhaka-2243@d68c729c-c5f1-4fbf-afb2-98edbfe3e96a', 'realme-5i-4-64-used-for-sale-dhaka-2243@d54f0f28-185b-4e3b-8007-666c5fb73190']","{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': '5i', 'Edition:': '4-64', 'Authenticity:': 'Original'}",,"mobile a kono somossa nai, full fresh, nela call den :",
OPPO A71 (Used),"Posted on 18 Oct 8:24 pm, Gopalganj, Dhaka Division","Tk 5,500","['oppo-a71-used-for-sale-dhaka-division-161@f133a00f-683d-441f-86fa-d0e30217a408', 'oppo-a71-used-for-sale-dhaka-division-161@94d8fe58-5091-4153-879c-31f2a44280ea', 'oppo-a71-used-for-sale-dhaka-division-161@d7118f9b-eb2c-400b-922e-b91e613d1550', 'oppo-a71-used-for-sale-dhaka-division-161@16cff791-1afa-4fb8-87c7-2f4c77ce3dff', 'oppo-a71-used-for-sale-dhaka-division-161@fd4c1c7f-8a73-4627-8626-b2e02e3e1bab']","{'Condition:': 'Used', 'Brand:': 'OPPO', 'Model:': 'A71', 'Authenticity:': 'Original'}",,ফোনাটা খুবই ভালো মুটামুটি ফেরেশ আছে চার্জ খুব ভালো থাকে রেম৩ জিবি রোম১৬ ইমার জিনছি টাকা লাগবে তাই বিক্রি কোরবো নেট গুলির মোত চোলবে,
Samsung a30s Phones display,"Posted on 18 Oct 8:24 pm, Hathazari, Chattogram","Tk 6,000","['phones-display-for-sale-chattogram-1@b50cdfa2-1bc6-4593-a53e-1856e8fb5d97', 'phones-display-for-sale-chattogram-1@eeaa6638-f210-43b6-a984-2218e97cc75e']",{'Condition:': 'Used'},,"Samsung a30s ফোনের আসল সুপার এমোলেড ডিসপ্লে বিক্রি করা হবে।।
ফোন এখনো চলমান।।পাওয়ার আইসি এবং মাদার বোর্ডে সমস্যা হইছে যার ঠিক করতে অনেক টাকার প্রয়োজন তার কারনে আর ঠিক করতে চাচ্ছি না।।
কারো লাগলে মেসেজ করবেন। 
নোটঃকারো প্রয়োজন হলে সম্পুর্ন ফোনটি নিতে পারেন অনান্য পার্টস এর জন্য 
location :Hathazari",
Vivo Y91 . (Used),"Posted on 18 Oct 8:23 pm, Bogura, Rajshahi Division","Tk 6,000","['vivo-y91-good-condition-used-for-sale-rajshahi-division-1@c376ec14-c1e2-49ec-a2cc-6fb6961291ac', 'vivo-y91-good-condition-used-for-sale-rajshahi-division-1@a295709a-e9e5-4374-9442-aa4422cf54fb']","{'Condition:': 'Used', 'Brand:': 'Vivo', 'Model:': 'Y91', 'Edition:': '.', 'Authenticity:': 'Original'}",,পোন ওকে  আছে সব কিছু টিক আছে কোন প্রবলেম নাই যে নেবেন ভালো করে দেখে নেবে।। বক্স  নাই শুধু ফোন। আমি নিজে একবচর ধরে ব্যাবহার করতেছি। ২.৩২যে নেবেন সরাসরি কল দিবেন মেসেজ দিবেন না,
Xiaomi Redmi Note 9 4/128 (Used),"Posted on 18 Oct 8:23 pm, Naogaon, Rajshahi Division","Tk 12,500","['xiaomi-redmi-note-9-4-128-used-for-sale-rajshahi-division-88@865f5e1e-9c21-4626-9291-3ff635f6d614', 'xiaomi-redmi-note-9-4-128-used-for-sale-rajshahi-division-88@9913420e-9b96-4c31-ba2d-7c036fb804df']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 9', 'Edition:': '4/128', 'Authenticity:': 'Original'}",,অনেক ভালো ফোন কোনরকম কোন সমস্যা নেই একদম ফ্রেশ যত খুশি দেখে নেবেন এক দাম,
Samsung Galaxy M31 8/128 (Used),"Posted on 18 Oct 8:23 pm, Dinajpur, Rangpur Division","Tk 16,800","['samsung-galaxy-m31-8-128-used-for-sale-rangpur-division-21@c8f7a0f7-c59b-47bd-abe6-74cbbc3f1a20', 'samsung-galaxy-m31-8-128-used-for-sale-rangpur-division-21@4a857619-cdec-4e5c-8683-50a0eff4695b', 'samsung-galaxy-m31-8-128-used-for-sale-rangpur-division-21@0c961d4a-b5bd-4aaf-8054-5deef1164827', 'samsung-galaxy-m31-8-128-used-for-sale-rangpur-division-21@f4968b63-21be-4d70-8f6b-228e95e70b50']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy M31', 'Edition:': '8/128', 'Authenticity:': 'Original'}",,Samsung m31 full fresh 8/128 kono dag nei 3 mas use korchi full box ache 16800 tk price.....jara nibn tarai call den🙂,
OPPO A16 . (Used),"Posted on 18 Oct 8:23 pm, Lalmonirhat, Rangpur Division","Tk 14,000","['oppo-a16-used-used-for-sale-rangpur-division@92c86dac-66c3-4550-8d05-c925ddaac937', 'oppo-a16-used-used-for-sale-rangpur-division@f85a0005-0d40-4454-b42a-16eaa69aa880', 'oppo-a16-used-used-for-sale-rangpur-division@e6534d7a-a150-4ff2-b9ad-3ab7839b1d59', 'oppo-a16-used-used-for-sale-rangpur-division@1b829b86-86e4-4bdb-8a2b-b70923d357f8', 'oppo-a16-used-used-for-sale-rangpur-division@486abac6-6de3-49e1-b62e-4e9788e82f50']","{'Condition:': 'Used', 'Brand:': 'OPPO', 'Model:': 'A16', 'Edition:': '.', 'Authenticity:': 'Original'}",,"phone full fresh condition,  kono problem nei . jotokkhon khusi dekhe neben .
Emergency takar dorkar tai sell ditechi . kew nite chaile contract korben.  
Location : Kumrirhat ,  Aditmari.........",
Xiaomi Redmi Note 10 Pro Max (Used),"Posted on 18 Oct 8:23 pm, Thakurgaon, Rangpur Division","Tk 17,000","['xiaomi-redmi-note-10-pro-max-used-for-sale-rangpur-division-33@a978df15-3d21-49f1-9833-9b4832e62725', 'xiaomi-redmi-note-10-pro-max-used-for-sale-rangpur-division-33@3b1681a8-d3f0-4573-8c9e-a8239053e5e3', 'xiaomi-redmi-note-10-pro-max-used-for-sale-rangpur-division-33@2d076c82-93ff-4385-864a-5134d90e7204', 'xiaomi-redmi-note-10-pro-max-used-for-sale-rangpur-division-33@64209c47-51ab-48cb-9d6d-725b1b830f26', 'xiaomi-redmi-note-10-pro-max-used-for-sale-rangpur-division-33@c4dd0406-b12e-4467-ae05-7ee0428a6f92']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 10 Pro Max', 'Authenticity:': 'Original'}",,"Phone ekdom fresh,kno dag nai.
India theke ansilam tai box,charger nai.
Phone er kno problem nai iccha moto dekhe nite parben.
Price fixed",
Vivo v5s (Used),"Posted on 18 Oct 8:22 pm, Mirpur, Dhaka","Tk 8,500","['vivo-v5-plus-v5s-used-for-sale-dhaka-1@55f862cd-de85-4610-bf35-adabd7700128', 'vivo-v5-plus-v5s-used-for-sale-dhaka-1@8e322c5d-85c4-4faf-a019-b7d1c2a15b39']","{'Condition:': 'Used', 'Brand:': 'Vivo', 'Model:': 'Other Model', 'Edition:': 'vivo v5s', 'Authenticity:': 'Original'}",,কোনো সমস্যা নাই টাকা লাকবে তাই বেচবো ইন্ডিয়া থেকে আনা,
Xiaomi Redmi Note 10s fresh (Used),"Posted on 18 Oct 8:22 pm, Ganginar par, Mymensingh","Tk 19,500","['xiaomi-redmi-note-10s-fresh-used-for-sale-mymensingh@22127460-da6e-4e0c-bcc6-ee80ec0cb367', 'xiaomi-redmi-note-10s-fresh-used-for-sale-mymensingh@d50c1422-caab-4e20-856a-a1d307728856', 'xiaomi-redmi-note-10s-fresh-used-for-sale-mymensingh@e9c978f7-64e4-4ef1-825d-4d317809e4c2', 'xiaomi-redmi-note-10s-fresh-used-for-sale-mymensingh@f7c8f00c-53cf-440d-ab8f-95f0a6ba2994']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 10s', 'Edition:': 'fresh', 'Authenticity:': 'Original'}",,কোনো সমস্যা নাই টাকার দরকার তাই বিএি করে দিবো,
Google pixel 3 (Used),"Posted on 18 Oct 8:22 pm, Patuakhali, Barishal Division","Tk 15,000","['google-pixel-3-xl-used-for-sale-barishal-division-2@aac66f0e-cfc5-4387-8c6c-f69215564c06', 'google-pixel-3-xl-used-for-sale-barishal-division-2@5cff99e9-1419-4369-a852-39b4b75185d9', 'google-pixel-3-xl-used-for-sale-barishal-division-2@bdbcf5d0-855b-4eab-bd09-fa4f3ce44c03', 'google-pixel-3-xl-used-for-sale-barishal-division-2@4ca27423-1492-400b-a99d-0fd1c52c6d6a', 'google-pixel-3-xl-used-for-sale-barishal-division-2@eaa70759-b859-4863-afcd-d75ab9192483']","{'Condition:': 'Used', 'Brand:': 'Google', 'Model:': 'Other model', 'Edition:': 'pixel 3', 'Authenticity:': 'Original'}",,4 gb 64  storage,
Samsung Galaxy Core Prime (Used),"Posted on 18 Oct 8:22 pm, Khulshi, Chattogram","Tk 1,500","['samsung-galaxy-core-used-for-sale-chattogram-233@24ab8d54-8a4a-4f06-93ec-e8bd73ad26a3', 'samsung-galaxy-core-used-for-sale-chattogram-233@1d876402-fee8-4d3d-94a5-342adb501b9d']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy Core', 'Edition:': 'Prime', 'Authenticity:': 'Original'}",,"SAMSUNG GALAXY CORE PRIME
100% OK.
ONLY SET.",
"Apple iPhone 12 64gb, BH-88 (Used)","Posted on 18 Oct 8:22 pm, Mogbazar, Dhaka","Tk 52,249","['apple-iphone-12-64gb-bh-88-used-for-sale-dhaka@284638e2-fde5-45ec-a932-568547cafeb6', 'apple-iphone-12-64gb-bh-88-used-for-sale-dhaka@b9a4716d-1a72-4f8e-b426-db3bec564908', 'apple-iphone-12-64gb-bh-88-used-for-sale-dhaka@49b14d29-1b30-4525-ac3a-e3f5e3b5bc0c', 'apple-iphone-12-64gb-bh-88-used-for-sale-dhaka@2619266d-83f0-498b-ad8c-3b7053a4b91f', 'apple-iphone-12-64gb-bh-88-used-for-sale-dhaka@726f07e5-e2e7-4fae-83be-88884f2904e1']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone 12', 'Edition:': '64gb, BH-88', 'Authenticity:': 'Original'}",,"Bh-88
Halka ettu dent ase
Baki kuno somoshya nai
Full Box
Data Cable
True tone✅
Face id ✅
1 year used
India Variant
Dhaka,Moghbazar wireless rail gate",
Apple iPhone SE (Used),"Posted on 18 Oct 8:22 pm, Akhalia, Sylhet","Tk 10,000",['apple-iphone-se-used-for-sale-sylhet-227@31f71124-aefc-4103-9599-42782c0c2a4b'],"{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone SE', 'Edition:': 'iPhone SE', 'Authenticity:': 'Original'}",,IPhone SE With Full Box. Stores 32 GB. Health 82. Full Fresh Phone.,
Realme 8 100% fresh (Used),"Posted on 18 Oct 8:22 pm, Gazipur, Dhaka Division","Tk 20,000","['realme-8-100-percent-fresh-used-for-sale-dhaka-division-1@b53f8bee-b8af-47fd-ac51-8e347bf4718c', 'realme-8-100-percent-fresh-used-for-sale-dhaka-division-1@704a929e-8003-4a99-8c1c-35c70b060949', 'realme-8-100-percent-fresh-used-for-sale-dhaka-division-1@1e92ba6a-4b32-4a36-aa0e-949a4f4da23a', 'realme-8-100-percent-fresh-used-for-sale-dhaka-division-1@0b4ccc10-919c-498d-adab-7e23b70f777b', 'realme-8-100-percent-fresh-used-for-sale-dhaka-division-1@6bb6214f-7aab-44a8-a53a-c89b85cc87a8']","{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': '8', 'Edition:': '100% fresh', 'Authenticity:': 'Original'}",,"আগে পোস্ট পড়ুন
,ফোনটি খুব যত্ন সহকারে আমি একা ব্যবহার করেছি,
যদি ফোনের মধ্যে ০৫% সমস্যাও থাকে,, তাহলে ফোন বিক্র‍য় করবো না,
যারা ফোনের ব্যপারে অভিজ্ঞ,,,তাদেরকে এই ফোনের ব্যাপারে  বলার মতো কিছু নেই,
ব্যটারি পারফরম্যান্স অসাধারণ, 
সাথে ফোনের অরিজিনাল চার্জার,,বক্স,,এবং সকল ডকুমেন্টস দেওয়া হবে,।
লোকেশনঃ গাজীপুর, মাওনা,,মেম্বারবাড়ী। 
যতক্ষন ইচ্ছা,,,ফোন ঘেটে দেখে নিতে পারবেন।
কল করুন নিচের দেওয়া নাম্বারে,,",
Huawei Mate 10 Pro (6/128GB) Full Box (Used),"Posted on 18 Oct 8:22 pm, Mirpur, Dhaka","Tk 17,000","['huawei-mate-10-pro-6-128gb-full-box-used-for-sale-dhaka@cb28ca03-9af3-404d-8232-7f0ba527929e', 'huawei-mate-10-pro-6-128gb-full-box-used-for-sale-dhaka@beb4b652-c76c-4c4a-8cef-f285fb80a662', 'huawei-mate-10-pro-6-128gb-full-box-used-for-sale-dhaka@64414a5c-cdfa-4289-9efc-ffb7e94a3308', 'huawei-mate-10-pro-6-128gb-full-box-used-for-sale-dhaka@a3b51fb6-ff4c-4fa9-a09d-f5faf833a2b1', 'huawei-mate-10-pro-6-128gb-full-box-used-for-sale-dhaka@cb1f6083-3f07-47e5-9bde-e740f93ac036']","{'Condition:': 'Used', 'Brand:': 'Huawei', 'Model:': 'Mate 10 Pro', 'Edition:': '(6/128GB) Full Box', 'Authenticity:': 'Original'}",,"About 1yr used.
Sathe imei matching box and charger ase.
Fresh Condition. 
Full body poly kora.
Kirin 970 Processor.
Fast Fingerprint and face unlock. 
IP67 dust/water resistant (up to 1m for 30 mins)
6/128GB
Nite hole amr location e ashte hbe.
Price almost fxd.
Sell or exchange.",
Xiaomi Redmi Note 10 (Used),"Posted on 18 Oct 8:21 pm, Mirpur, Dhaka","Tk 13,000","['xiaomi-redmi-note-10-used-for-sale-dhaka-1535@2e06aedc-ef2c-4ecf-afd2-79aab8d66dc4', 'xiaomi-redmi-note-10-used-for-sale-dhaka-1535@294c47fc-e032-4024-9c7a-dd5272891d90']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 10', 'Authenticity:': 'Original'}",,ফোন্টা আমি নিজেই বেবোহার করে সি৷ এক কথায় ফোন টা অনেক ভালো পাবেন,
Motorola EDGE 20PRO(8/128)BOX (Used),"Posted on 01 Sep 2:21 am, Chawkbazar, Chattogram","Tk 34,999","['motorola-edge-20pro8-128box-used-for-sale-chattogram@52e8c379-ad22-43e4-b682-5ee707f72435', 'motorola-edge-20pro8-128box-used-for-sale-chattogram@5ac28686-54eb-4cad-aab0-d4c245678492', 'motorola-edge-20pro8-128box-used-for-sale-chattogram@f1fbba67-3aa1-495b-aac5-70c80590918c', 'motorola-edge-20pro8-128box-used-for-sale-chattogram@e1543e51-f7c7-4106-bcfc-c2d1e42cf0c3', 'motorola-edge-20pro8-128box-used-for-sale-chattogram@4c4ce32d-766b-4fab-a9d0-0f289bc3caaa']","{'Condition:': 'Used', 'Brand:': 'Motorola', 'Model:': 'Other model', 'Edition:': 'EDGE 20PRO(8/128)BOX', 'Authenticity:': 'Original'}",,"# ONE MONTH USED BUT 100% FRESH
# 32 mp Selfie & 108+12+5 MP Camera
# 8 gb Ram & 128 gb Rom
# BLUE COLOUR
# CASH PROMO 35000TAKA
# REGULAR 42000 TAKA
# EMI STARTING 3750 TAKA PER MONTH (CRIDET CARD HOLDER ONLY)
Buyers Will Get:
★★ Charger
 ★★ Data cable
★★ Box
★★ Money Receipt
Issues:
1.Our All Products Original And Genuine. 
2.Our All Product 5 Days replacement And 1 year Service Warranty
Our EMI Banking Partner:- 
1.Standard Chartered Bank. 
2.The City Bank Ltd. 
3.Brac Bank Ltd. 
4.Eastern Bank Ltd. 
5.LankaBangla Finance Ltd. 
6.Mutual Trust Bank Ltd. 
7.Southeast Bank Ltd. 
8.NRB Bank Ltd. 
9.One Bank Ltd. 
10.Dutch Bangla bank Ltd. 
11.Standard Band Ltd. 
12.Al-Arafah Islami Bank ltd.
13.Bank Asia limited
14.Prime Bank limited
15.Ucbl Bank limited
Our Rewards Points Redemption Banking Partner:- 
1.Brac Bank Ltd 
2.The City Bank Ltd 
3.Langka Bangka Finance Ltd 
4.Standard Chartered Bank(Coming Soon)
Visit us:
 Rony Enterprise (Since 2007)  
Subashati Syed Center( 3rd floor)
 Beside Moti Tower And Moti Complex. 
Shop no 306/A,College road,  
Chawkbazar ,Chittagong",
